No,Classification,label,notation,easting,northing,lat,long,easting_count,northing_count,coordinate,wiskiID,dateOpened,datum,boreholeDepth,aquifer,dipped,logged,amount_dipped,start_dipped,end_dipped,amount_logged,start_logged,end_logged,CHARACTER,FLOW_MECHA,Elevation,distance,Top aquifer
1,Slow decreasing,Burton Coggles,c7e13884-4a02-4df3-b184-09aea28cf8e8_3_020,498965,325135,52.814674,-0.533054,1,1,,3_020,7/30/1974,0,31,Lincolnshire Limestone,http://environment.data.gov.uk/hydrology/id/measures/c7e13884-4a02-4df3-b184-09aea28cf8e8_3_020-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/c7e13884-4a02-4df3-b184-09aea28cf8e8_3_020-gw-logged-i-subdaily-mAOD-qualified,1448,7/30/1974,7/26/2022,389975,7/18/1997,7/27/2023,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,71.46416473,4864.588373,Oolites
2,No trend,Willow Tree Farm,ef76b105-7412-45fc-976d-972c1f7e185a_SU29_94,420565,199295,51.692029,-1.703877,1,2,,SU29_94,10/1/2002,72.52,,Pleistocene Sands and Gravels,http://environment.data.gov.uk/hydrology/id/measures/ef76b105-7412-45fc-976d-972c1f7e185a_SU29_94-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/ef76b105-7412-45fc-976d-972c1f7e185a_SU29_94-gw-logged-i-subdaily-mAOD-qualified,116,9/5/2004,9/14/2023,187818,10/1/2002,3/13/2024,Rocks with essentially no groundwater,,72.23679352,3630.712238,Oolites
3,,Plucks Gutter,2ec41641-3875-4613-8d97-2ddbe6b1a4ad_644801001,627131,163892,51.328738,1.258886,1,1,,644801001,10/14/1981,3.15,,,http://environment.data.gov.uk/hydrology/id/measures/2ec41641-3875-4613-8d97-2ddbe6b1a4ad_644801001-gw-dipped-i-mAOD-qualified,,242,10/14/1981,12/4/2023,,,,Moderately productive aquifer,Significant intergranular flow,2.24781251,47210.59533,Carboniferous Limestones
4,Slow increasing,Wimpole Hall,cd8c5956-30bd-4242-9d18-ce24ce0a3f30_TL35_001,532774,250554,52.13733,-0.061377,1,1,,TL35_001,3/16/1978,38.28,,,,http://environment.data.gov.uk/hydrology/id/measures/cd8c5956-30bd-4242-9d18-ce24ce0a3f30_TL35_001-gw-logged-i-subdaily-mAOD-qualified,,,,389,3/16/1978,11/12/2021,Rocks with essentially no groundwater,,37.54615784,39009.65998,Chalk
5,,Walcot,aded6ffd-1b3c-4fce-ad90-ec995a90a2a7_2_536,511685,355775,53.087506,-0.333857,1,1,,2_536,5/13/1976,5.66,92.61,Lincolnshire Limestone,http://environment.data.gov.uk/hydrology/id/measures/aded6ffd-1b3c-4fce-ad90-ec995a90a2a7_2_536-gw-dipped-i-mAOD-qualified,,639,5/13/1976,1/5/2024,,,,Rocks with essentially no groundwater,,5.339609623,9429.261937,Oolites
6,,Wood Mill Farm,2234c370-5154-4bb5-aae6-b7606120f917_2887,362675,323245,52.805447,-2.555107,2,1,,2887,10/20/2000,66.66,,,,http://environment.data.gov.uk/hydrology/id/measures/2234c370-5154-4bb5-aae6-b7606120f917_2887-gw-logged-i-subdaily-mAOD-qualified,,,,170908,10/20/2000,3/1/2024,Highly productive aquifer,Significant intergranular flow,65.72026825,2362.449054,Permian Sandstones
7,No trend,Wood Mill Farm,2234c370-5154-4bb5-aae6-b7606120f917_2055GW,362935,322875,52.802139,-2.551209,2,1,,2055GW,10/12/1972,61.7,,,http://environment.data.gov.uk/hydrology/id/measures/2234c370-5154-4bb5-aae6-b7606120f917_2055GW-gw-dipped-i-mAOD-qualified,,428,10/12/1972,10/17/2023,,,,Highly productive aquifer,Significant intergranular flow,61.23064041,1950.765841,Permian Sandstones
8,No trend,Wood Mill Farm,2234c370-5154-4bb5-aae6-b7606120f917_0445GW,362675,323225,52.805267,-2.555105,2,1,,0445GW,1/3/1974,66.2,,,http://environment.data.gov.uk/hydrology/id/measures/2234c370-5154-4bb5-aae6-b7606120f917_0445GW-gw-dipped-i-mAOD-qualified,,687,1/3/1974,10/17/2023,,,,Highly productive aquifer,Significant intergranular flow,65.82038879,2352.310229,Permian Sandstones
9,Sudden upward change,Drakelow,94e992cb-3f51-46f8-a7b8-be5368babf90_46654,423955,320335,52.780061,-1.646296,1,1,,46654,4/7/2000,55.09,,,,http://environment.data.gov.uk/hydrology/id/measures/94e992cb-3f51-46f8-a7b8-be5368babf90_46654-gw-logged-i-subdaily-mAOD-qualified,,,,833285,4/7/2000,1/12/2024,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,54.95383453,195.9830256,Triassic sandstones
10,,Tollgate,db1d776d-2226-4979-8b90-733c0f352d32_441414004,564245,171712,51.420622,0.360804,1,1,,441414004,4/1/1981,29.02,,,http://environment.data.gov.uk/hydrology/id/measures/db1d776d-2226-4979-8b90-733c0f352d32_441414004-gw-dipped-i-mAOD-qualified,,461,4/1/1981,12/4/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,29.95890617,17751.09429,Chalk
