No,label,dipped,logged,easting,northing,lat,long,Revised aquifers,CHARACTER,FLOW_MECHA,Elevation of station,state,data amount,mean_depth,max_depth,min_depth,first year,last year,total year,cover year,classification,ts_slope (cm/year),pw_R2,windows,start year,end year,regions,5km circle,Irrigation intensity,LTA_PR
1,Burton Coggles,http://environment.data.gov.uk/hydrology/id/measures/c7e13884-4a02-4df3-b184-09aea28cf8e8_3_020-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/c7e13884-4a02-4df3-b184-09aea28cf8e8_3_020-gw-logged-i-subdaily-mAOD-qualified,498965,325135,52.814674,-0.533054,Oolites,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,71.46416473,qualified,1162,19.32156662,21.77416473,14.47416473,10/1/1974,10/1/2019,46,40,Slow decreasing,3.365393519,0.090633391,37,10/1/1974,10/1/2010,Anglian,48.98193227,101,0.418431414
2,Willow Tree Farm,http://environment.data.gov.uk/hydrology/id/measures/ef76b105-7412-45fc-976d-972c1f7e185a_SU29_94-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/ef76b105-7412-45fc-976d-972c1f7e185a_SU29_94-gw-logged-i-subdaily-mAOD-qualified,420565,199295,51.692029,-1.703877,Oolites,Rocks with essentially no groundwater,,72.23679352,qualified,7184,0.759703753,1.582835187,-0.230164813,10/1/2003,10/1/2023,21,21,No trend,-0.426781201,0.07662342,21,10/1/2003,10/1/2023,Thames,120.7160504,251,0.57172082
3,Plucks Gutter,http://environment.data.gov.uk/hydrology/id/measures/2ec41641-3875-4613-8d97-2ddbe6b1a4ad_644801001-gw-dipped-i-mAOD-qualified,,627131,163892,51.328738,1.258886,Carboniferous Limestone,Moderately productive aquifer,Significant intergranular flow,2.24781251,qualified,227,1.215521761,2.03781251,0.04781251,10/1/1981,10/1/2023,43,35,No trend,-0.610416667,0.067785543,43,10/1/1981,10/1/2023,Southern,139.4297237,1001,0.043507818
4,Wimpole Hall,,http://environment.data.gov.uk/hydrology/id/measures/cd8c5956-30bd-4242-9d18-ce24ce0a3f30_TL35_001-gw-logged-i-subdaily-mAOD-qualified,532774,250554,52.13733,-0.061377,Lower Greensand,Rocks with essentially no groundwater,,37.54615784,qualified,120,14.25210784,16.00515784,11.34615784,10/1/1998,10/1/2020,23,21,Sudden upward change,-20.55493827,0.970427973,9,10/1/2005,10/1/2013,Anglian,108.5353892,5001,0.025914801
5,Walcot,http://environment.data.gov.uk/hydrology/id/measures/aded6ffd-1b3c-4fce-ad90-ec995a90a2a7_2_536-gw-dipped-i-mAOD-qualified,,511685,355775,53.087506,-0.333857,Oolites,Rocks with essentially no groundwater,,5.339609623,negative groundwater depth,584,-10.12857531,-3.720390377,-16.32039038,10/1/1975,10/1/2023 0:00,49,45,,,,,,,,,,
6,Wood Mill Farm,,http://environment.data.gov.uk/hydrology/id/measures/2234c370-5154-4bb5-aae6-b7606120f917_2887-gw-logged-i-subdaily-mAOD-qualified,362675,323245,52.805447,-2.555107,Permian Sandstone,Highly productive aquifer,Significant intergranular flow,65.72026825,qualified,2747,2.525466102,7.602490472,1.556934917,10/1/2002,10/1/2023,22,11,Slow increasing,-2.361361119,0.394307377,2,10/1/2002,10/1/2003,Midlands,73.25173375,1001,0.383537413
7,Wood Mill Farm,http://environment.data.gov.uk/hydrology/id/measures/2234c370-5154-4bb5-aae6-b7606120f917_2055GW-gw-dipped-i-mAOD-qualified,,362935,322875,52.802139,-2.551209,Permian Sandstone,Highly productive aquifer,Significant intergranular flow,61.23064041,qualified,402,1.133103097,1.56064041,0.78064041,10/1/1972,10/1/2022,51,44,No trend,0.054069542,0.180093048,1,10/1/1973,10/1/1973,Midlands,74.00813239,1001,0.46240201
8,Wood Mill Farm,http://environment.data.gov.uk/hydrology/id/measures/2234c370-5154-4bb5-aae6-b7606120f917_0445GW-gw-dipped-i-mAOD-qualified,,362675,323225,52.805267,-2.555105,Permian Sandstone,Highly productive aquifer,Significant intergranular flow,65.82038879,qualified,615,2.541331879,3.46038879,0.98038879,10/1/1973,10/1/2021,49,47,No trend,0.283164983,0.118530737,9,10/1/1981,10/1/1989,Midlands,73.29142479,1001,0.383537413
9,Drakelow,,http://environment.data.gov.uk/hydrology/id/measures/94e992cb-3f51-46f8-a7b8-be5368babf90_46654-gw-logged-i-subdaily-mAOD-qualified,423955,320335,52.780061,-1.646296,Triassic Sandstone,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,54.95383453,qualified,7816,6.673464762,12.5392512,0.672938697,10/1/1999,10/1/2021,23,23,Slow increasing,-37.07791617,0.810297315,18,10/1/2000,10/1/2017,Midlands,1001.230481,501,0.572872895
10,Tollgate,http://environment.data.gov.uk/hydrology/id/measures/db1d776d-2226-4979-8b90-733c0f352d32_441414004-gw-dipped-i-mAOD-qualified,,564245,171712,51.420622,0.360804,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,29.95890617,qualified,457,19.77582958,23.26890617,15.89890617,10/1/1980,10/1/2023,44,44,No trend,1.583064738,0.132646057,10,10/1/1982,10/1/1991,Southern,1628.325082,251,0.394366058
