No,label,trend classification,ts_slope (cm/year),piecewise_R2,sudden change windows span,sudden change window start year,sudden change window end year
1,Burton Coggles,Slow decreasing,3.365393519,0.090633391,37,10/1/1974,10/1/2010
2,Willow Tree Farm,No trend,-0.426781201,0.07662342,21,10/1/2003,10/1/2023
3,Plucks Gutter,No trend,-0.610416667,0.067785543,43,10/1/1981,10/1/2023
4,Wimpole Hall,Sudden upward change,-20.55493827,0.970427973,9,10/1/2005,10/1/2013
6,Wood Mill Farm,Slow increasing,-2.361361119,0.394307377,2,10/1/2002,10/1/2003
7,Wood Mill Farm,No trend,0.054069542,0.180093048,1,10/1/1973,10/1/1973
8,Wood Mill Farm,No trend,0.283164983,0.118530737,9,10/1/1981,10/1/1989
9,Drakelow,Slow increasing,-37.07791617,0.810297315,18,10/1/2000,10/1/2017
10,Tollgate,No trend,1.583064738,0.132646057,10,10/1/1982,10/1/1991
11,Spoondell,Slow decreasing,4.017424242,0.062545762,25,10/1/1981,10/1/2005
14,North Stoke,Slow increasing,-4.992424242,0.310392581,19,10/1/2005,10/1/2023
15,Newlands Corner,Slow decreasing,3.890833302,0.061787509,8,10/1/2009,10/1/2016
16,Grange Farm West Wratting,No trend,1.104166667,0.128486784,2,10/1/2003,10/1/2004
17,Lea Farm,No trend,-0.431186869,0.017741268,38,10/1/1976,10/1/2013
18,Ingleby,Slow decreasing,44.1125,0.986199413,7,10/1/2012,10/1/2018
19,Thames Head,No trend,-1.263157895,0.177653782,63,10/1/1961,10/1/2023
20,Moss Edge Farm,No trend,0.009365969,0.030053245,56,10/1/1965,10/1/2020
21,East Leake,Slow increasing,-13.30568182,0.739688249,46,10/1/1978,10/1/2023
23,Roman Road,Slow increasing,-6.058174576,0.621017401,11,10/1/1997,10/1/2007
24,Hyde Cottages Risby,Slow decreasing,8.1125,0.195980571,16,10/1/2000,10/1/2015
25,North Plantation,No trend,-1.902631579,0.889733809,8,10/1/1998,10/1/2005
26,Warnford Estate,No trend,-0.985791091,0.524456204,33,10/1/1991,10/1/2023
27,Kemps Drift,No trend,-0.968398268,0.844403078,9,10/1/1991,10/1/1999
28,Hungerdowns Farm,No trend,-0.622530864,0.087244524,28,10/1/1996,10/1/2023
29,Caldecote Farm,No trend,-0.224358974,0.468077012,1,10/1/1997,10/1/1997
30,Jackaments Bottom,No trend,1.776094293,0.022230378,34,10/1/1986,10/1/2019
31,Ponyfield,Slow increasing,-3.513047138,0.481143748,25,10/1/1997,10/1/2021
32,Lydeards Hill,Slow decreasing,16.40530646,0.594221791,21,10/1/1992,10/1/2012
33,Sutton Top Field Spinney,Slow increasing,-2.524104683,0.628812485,8,10/1/2016,10/1/2023
34,Sutton Heath Road,No trend,0.263020833,0.101902159,2,10/1/2018,10/1/2019
35,Woore,No trend,-0.082211538,0.030557745,1,10/1/2019,10/1/2019
36,Hurdcott,No trend,-0.207883241,0.066941487,6,10/1/2007,10/1/2012
37,Hursley,Slow increasing,-3.52834856,0.019923973,36,10/1/1988,10/1/2023
38,Blowing Stone Cottage,No trend,1.069666445,0.038344677,2,10/1/1982,10/1/1983
39,Mill Road,No trend,1.10124269,0.290842398,1,10/1/1999,10/1/1999
40,Water Acre,No trend,-0.266155434,0.010339308,49,10/1/1975,10/1/2023
41,Upavon Deep,No trend,-0.625344353,0.057227614,14,10/1/2010,10/1/2023
