No,label,trend classification,aquifer,regions,Spatial heterogeneity_5km,Spatial heterogeneity_no station nearby5km,Population density_MSOA,Population density_5km circle averaged,Irrigation intensity,long-term average groundwater recharge
1,Burton Coggles,Slow decreasing,Oolites,Anglian,heterogeneous trends,homogeneous trends,47.1,48.98193227,101,0.418431414
2,Willow Tree Farm,No trend,Oolites,Thames,,,141.4,120.7160504,251,0.57172082
3,Plucks Gutter,No trend,Carboniferous Limestone,Southern,,,138.1,139.4297237,1001,0.043507818
4,Wimpole Hall,Sudden upward change,Lower Greensand,Anglian,,,94.4,108.5353892,5001,0.025914801
6,Wood Mill Farm,Slow increasing,Permian Sandstone,Midlands,heterogeneous trends,homogeneous trends,56.6,73.25173375,1001,0.383537413
7,Wood Mill Farm,No trend,Permian Sandstone,Midlands,,,56.6,74.00813239,1001,0.46240201
8,Wood Mill Farm,No trend,Permian Sandstone,Midlands,,,56.6,73.29142479,1001,0.383537413
9,Drakelow,Slow increasing,Triassic Sandstone,Midlands,no station nearby,homogeneous trends,177,1001.230481,501,0.572872895
10,Tollgate,No trend,Chalk,Southern,,,3163.5,1628.325082,251,0.394366058
11,Spoondell,Slow decreasing,Chalk,Thames,heterogeneous trends,homogeneous trends,5213.9,1130.70292,101,0.452253868
14,North Stoke,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,204.7,129.5668351,1001,0.988426741
15,Newlands Corner,Slow decreasing,Chalk,Thames,no station nearby,heterogeneous trends,128,597.6294929,501,0.848143776
16,Grange Farm West Wratting,No trend,Chalk,Anglian,,,76.5,79.5966272,5001,0.074835418
17,Lea Farm,No trend,Triassic Sandstone,Midlands,,,172.4,220.6293107,1001,0.355439221
18,Ingleby,Slow decreasing,Triassic Sandstone,Midlands,heterogeneous trends,homogeneous trends,138.5,340.5926235,1001,0.467431067
19,Thames Head,No trend,Oolites,Thames,,,92.6,191.3660449,251,0.685132479
20,Moss Edge Farm,No trend,Triassic Sandstone,North West,,,77.9,107.7348115,1,0.153373925
21,East Leake,Slow increasing,Triassic Sandstone,Midlands,no station nearby,heterogeneous trends,160.7,248.4182633,1001,0.040074906
23,Roman Road,Slow increasing,Unallocated to aquifers,Midlands,no station nearby,no station nearby,66.2,420.1542031,501,0.321514311
24,Hyde Cottages Risby,Slow decreasing,Lower Greensand,Anglian,heterogeneous trends,heterogeneous trends,60.2,403.1833645,5001,0.353233755
25,North Plantation,No trend,Lower Greensand,Anglian,,,60.2,62.53911903,5001,0.072286603
26,Warnford Estate,No trend,Chalk,Southern,,,74,77.16818355,101,1.064231102
27,Kemps Drift,No trend,Triassic Sandstone,North East,,,50.3,54.82825985,251,0.301571363
28,Hungerdowns Farm,No trend,Chalk,Anglian,,,111.9,146.1015437,1001,0.172868218
29,Caldecote Farm,No trend,Chalk,Anglian,,,25.2,33.42304313,5001,0.293396989
30,Jackaments Bottom,No trend,Oolites,Thames,,,92.6,118.5838186,251,0.724804137
31,Ponyfield,Slow increasing,Triassic Sandstone,Midlands,heterogeneous trends,heterogeneous trends,295.7,310.8654573,1001,0.412071652
32,Lydeards Hill,Slow decreasing,Unallocated to aquifers,South West,no station nearby,no station nearby,116.4,92.3557275,51,0.700069081
33,Sutton Top Field Spinney,Slow increasing,Oolites,Anglian,no station nearby,heterogeneous trends,229.8,127.6229654,101,0.09949908
34,Sutton Heath Road,No trend,Oolites,Anglian,,,229.8,128.0046865,101,0.09949908
35,Woore,No trend,Triassic Sandstone,Midlands,,,50.8,98.39816639,1001,0.77883711
36,Hurdcott,No trend,Chalk,South West,,,56.1,414.8000814,51,0.823832288
37,Hursley,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,176.6,558.2721312,1,0.114923068
38,Blowing Stone Cottage,No trend,Lower Greensand,Thames,,,74.6,78.76419301,51,0.439737228
39,Mill Road,No trend,Oolites,Anglian,,,100.8,86.16199832,1001,0.437193355
40,Water Acre,No trend,Chalk,Thames,,,36.5,63.91252609,51,0.83865331
41,Upavon Deep,No trend,Chalk,South West,,,37,38.70026976,51,0.868881188
42,Upavaon Shallow,No trend,Chalk,South West,,,37,38.68250646,51,0.868881188
43,Sherburn Quarry 3,No trend,Magnesian Limestone,North East,,,294.9,209.830765,501,0.314969079
44,Berwick Bassett,No trend,Chalk,Thames,,,36.5,55.30039445,51,0.848423985
45,Amotherby,No trend,Triassic Sandstone,North East,,,32.4,132.3997595,751,0.49661599
46,Brunstead Hall,No trend,Chalk,Anglian,,,114.4,99.32532392,1001,0.337616899
47,Moreton Lodge,No trend,Permian Sandstone,Midlands,,,56.6,58.38724439,1001,0.389028149
48,Bowbridge,No trend,Chalk,Thames,,,129.3,1140.12067,101,0.598277117
49,Bessacar,No trend,Triassic Sandstone,Midlands,,,1437.7,1408.341236,2501,0.129494575
50,Chalton,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,389.6,253.5907659,101,1.239965349
51,Old Hall,No trend,Crag,Anglian,,,47.8,68.87839308,1001,0.483986857
52,Main Road Croxton,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,25.2,310.3130271,5001,0.308023842
53,Rats Pen Lane Chalk,No trend,Chalk,Anglian,,,46.6,44.50567395,751,0.318412965
54,Myddlewood,Sudden downward change,Triassic Sandstone,Midlands,,,53.8,54.07280362,1001,0.370850855
55,Slough Farm,Slow increasing,Chalk,Anglian,no station nearby,homogeneous trends,111.9,750.4694961,1001,0.200858233
56,Marlston Farm,No trend,Chalk,Thames,,,118,285.8142319,51,0.743989257
57,Royalty Farm,Slow increasing,Fell Sandstone& Border Group,North East,heterogeneous trends,heterogeneous trends,33,32.94452074,1,0.387944414
58,Wested Farm,No trend,Lower Greensand,Southern,,,616,790.3823844,1,0.664497113
59,Trowley Bottom Farm,Slow increasing,Chalk,Thames,homogeneous trends,homogeneous trends,116.2,371.4616913,101,0.617164812
60,Glynch 3,Sudden downward change,Triassic Sandstone,Midlands,,,63.4,106.6757854,101,0.469846488
61,Pipe Green,Sudden upward change,Triassic Sandstone,Midlands,,,1621.1,634.2324252,251,0.434571346
62,Itteringham 2,No trend,Chalk,Anglian,,,47.8,65.62562865,1001,0.595256729
63,Winchester Guildhall,No trend,Chalk,Southern,,,2435.8,577.4225931,1,0.795229832
64,Hambleton,Slow increasing,Triassic Sandstone,North East,heterogeneous trends,homogeneous trends,148.4,249.1035911,501,0.248794699
65,Cocker Bridge,No trend,Triassic Sandstone,North West,,,77.9,91.4337219,1,1.377033017
66,Lynstead,No trend,Chalk,Southern,,,90.7,240.0360325,251,0.617036654
67,Cundall Sandstone,No trend,Triassic Sandstone,North East,,,48.2,65.31352166,251,0.299044013
69,Whitworth Hall,Sudden upward change,Unallocated to aquifers,North East,,,502.3,554.6150746,1,0.310853357
70,Painsbrook,Slow decreasing,Triassic Sandstone,Midlands,heterogeneous trends,heterogeneous trends,56.6,126.3984488,251,0.54604387
71,Bow Wow,No trend,Oolites,Thames,,,92.6,160.3332701,51,0.588019071
74,Aughton Cliffs Farm,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,heterogeneous trends,484.9,435.2414146,101,0.349516511
75,Pipstile Farm Uphampton,No trend,Triassic Sandstone,Midlands,,,159,125.1209151,1001,0.413562078
76,Challenge Farm,No trend,Chalk,Southern,,,176.2,667.5078114,251,0.689420957
77,Frome,No trend,Unallocated to aquifers,South West,,,64.5,403.5952194,51,1.035189686
78,Shortheath Pond,No trend,Lower Greensand,Thames,,,107.5,265.0426221,501,0.855006121
79,Hornsea,No trend,Chalk,North East,,,47.8,105.0961988,51,0.324083567
80,Crudwell,Slow increasing,Oolites,Thames,heterogeneous trends,homogeneous trends,193.3,116.6591895,251,0.083382795
81,Wrelton Paddock,Slow increasing,Triassic Sandstone,North East,heterogeneous trends,heterogeneous trends,21.5,29.48833785,751,0.876908037
82,Black Hall Farm,No trend,Unallocated to aquifers,Midlands,,,75.3,178.8040171,501,0.136122343
83,Cockley Cley Copse,No trend,Chalk,Anglian,,,25.2,61.14781607,5001,0.482224618
84,Westpoint,No trend,Permian Sandstone,South West,,,159.6,698.7889628,51,0.747119493
85,West Cowick,No trend,Triassic Sandstone,North East,,,148.9,140.2040489,51,0.166111547
86,Iwerne Hill Farm,No trend,Lower Greensand,South West,,,72.1,71.12905241,101,1.082393953
87,Old Well House,Slow decreasing,Lower Greensand,Southern,homogeneous trends,homogeneous trends,147,192.8789838,1,0.838362806
88,Croxton Heath,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,25.2,190.2017817,5001,0.484200497
89,Sproxton,No trend,Corallian Limestone,North East,,,20.2,20.22620447,751,0.133081368
90,Mayhouse Farm,No trend,Triassic Sandstone,Midlands,,,159,481.1097267,1001,0.097985215
91,Beenham,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,223.5,151.8133544,51,0.085198279
92,Brislands Lane,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,116.8,109.1599471,1,1.169014765
93,Blackmore Farm,Slow decreasing,Chalk,Southern,homogeneous trends,homogeneous trends,36.5,195.603157,1,0.739359545
94,Fox Hall,No trend,Triassic Sandstone,Midlands,,,64.3,220.7467912,251,0.851688908
95,Jevington,No trend,Chalk,Southern,,,701.7,792.1305304,1,1.028218965
96,Pickworth,No trend,Oolites,Anglian,,,47.1,47.21798928,751,0.245167161
98,Shawell Cottage,No trend,Permian Sandstone,Midlands,,,55,172.7726856,251,0.329585158
99,Shawbury Park Wood,No trend,Permian Sandstone,Midlands,,,56.6,116.0637785,1001,0.540815618
102,Ermin Farm,Slow increasing,Oolites,Thames,heterogeneous trends,homogeneous trends,504.4,207.8760704,51,0.643702583
103,Jubilee Bridge,Sudden upward change,Unallocated to aquifers,North East,,,502.3,461.5946749,1,0.39163317
106,Southover,Slow decreasing,Chalk,Anglian,no station nearby,homogeneous trends,92.5,120.7795495,5001,0.247797921
107,Ogbourne,No trend,Chalk,Thames,,,36.5,148.7496959,51,0.874259926
108,Little Thurlow,No trend,Lower Greensand,Anglian,,,75.3,123.4884868,1001,0.088557112
109,Crookhall Bridge,No trend,Triassic Sandstone,North West,,,68.9,109.6645465,1,0.881533443
110,Cowfold,Sudden upward change,Chalk,Thames,,,547.3,240.5824342,251,0.082542646
111,Elm Place,No trend,Chalk,Anglian,,,25.2,30.06412326,5001,0.319101773
113,Rabbits Farm,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,195.1,529.9691253,1,0.52535308
114,Side Saddle Farm,No trend,Permian Sandstone,Midlands,,,56.6,65.83999262,1001,0.228916203
115,Fordington Down,Slow increasing,Chalk,South West,heterogeneous trends,heterogeneous trends,44.7,328.4548729,101,1.398197234
116,Figheldean Deep,No trend,Chalk,South West,,,78.9,182.7381644,51,0.815873772
117,Figheldean Shallow,No trend,Chalk,South West,,,78.9,182.2749278,51,0.815873772
118,High Road Ashton Keynes,No trend,Oolites,Thames,,,116.2,113.806982,251,0.721167484
119,Hurst Green,No trend,Triassic Sandstone,North West,,,226.5,236.5106713,1,0.77189195
122,Ord Road,Sudden downward change,Unallocated to aquifers,North East,,,1618.4,198.5340692,1,0.32314068
123,Crosshill,No trend,Permian Sandstone,Midlands,,,55,918.2436572,251,0.383523204
124,Newbarn Cottage,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,92.8,241.9944324,101,1.272843205
125,Walford,No trend,Triassic Sandstone,Midlands,,,53.8,55.20586252,1001,0.374659501
126,Marldell,No trend,Chalk,Southern,,,74,83.99278715,101,1.174027771
128,Crondall,No trend,Chalk,Thames,,,374.8,517.1250436,251,1.081700005
129,Vicarage Farm,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,74.5,218.7500344,5001,0.285328371
130,Hoad Farm,Slow increasing,Oolites,Southern,no station nearby,no station nearby,1459.4,690.3078215,1001,0.665256416
131,Higham Mill,No trend,Chalk,Southern,,,182.1,1074.38586,251,0.410519965
132,Toad Hall,No trend,Corallian Limestone,Southern,,,63.4,246.9154949,251,1.269972258
133,Whitbread,Sudden upward change,Carboniferous Limestone,North West,,,231.3,1272.978993,1,0.883270678
134,Leedsgate Farm,No trend,Oolites,Anglian,,,219.8,132.5070188,751,0.057644812
135,Perimeter Road,Slow increasing,Unallocated to aquifers,North West,no station nearby,no station nearby,424.1,1095.523224,101,0.347487703
136,Alsa Wood Cottage,No trend,Chalk,Thames,,,212.4,252.0835559,101,0.415484245
137,Lullingstone,No trend,Lower Greensand,Southern,,,195.1,413.8281749,1,0.602623581
139,Kenninghall Place,No trend,Chalk,Anglian,,,51.1,81.06147605,5001,0.290103804
140,St Philomenas School,Slow increasing,Chalk,Thames,no station nearby,homogeneous trends,4678.3,4703.402071,101,0.44275799
141,Church Farm Cottage,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,46.4,120.5519084,5001,0.403419212
142,High School,No trend,Unallocated to aquifers,North West,,,6911.6,5804.207958,1,0.591245867
143,Lullingstone Centre,No trend,Chalk,Southern,,,195.1,387.0153468,1,0.564974735
144,Washdyke Bridge,No trend,Chalk,Anglian,,,46.6,103.3178668,751,0.222616593
