No,label,dipped,logged,easting,northing,lat,long,Elevation,data amount (daily sample),data amount (annual sample),obsrevation start year,obsrevation end year,obsrevation span,mean_depth,max_depth,min_depth
1,Burton Coggles,http://environment.data.gov.uk/hydrology/id/measures/c7e13884-4a02-4df3-b184-09aea28cf8e8_3_020-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/c7e13884-4a02-4df3-b184-09aea28cf8e8_3_020-gw-logged-i-subdaily-mAOD-qualified,498965,325135,52.814674,-0.533054,71.46416473,1162,40,1974,2019,46,19.32156662,21.77416473,14.47416473
2,Willow Tree Farm,http://environment.data.gov.uk/hydrology/id/measures/ef76b105-7412-45fc-976d-972c1f7e185a_SU29_94-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/ef76b105-7412-45fc-976d-972c1f7e185a_SU29_94-gw-logged-i-subdaily-mAOD-qualified,420565,199295,51.692029,-1.703877,72.23679352,7184,21,2003,2023,21,0.759703753,1.582835187,-0.230164813
3,Plucks Gutter,http://environment.data.gov.uk/hydrology/id/measures/2ec41641-3875-4613-8d97-2ddbe6b1a4ad_644801001-gw-dipped-i-mAOD-qualified,,627131,163892,51.328738,1.258886,2.24781251,227,35,1981,2023,43,1.215521761,2.03781251,0.04781251
4,Wimpole Hall,,http://environment.data.gov.uk/hydrology/id/measures/cd8c5956-30bd-4242-9d18-ce24ce0a3f30_TL35_001-gw-logged-i-subdaily-mAOD-qualified,532774,250554,52.13733,-0.061377,37.54615784,120,21,1998,2020,23,14.25210784,16.00515784,11.34615784
6,Wood Mill Farm,,http://environment.data.gov.uk/hydrology/id/measures/2234c370-5154-4bb5-aae6-b7606120f917_2887-gw-logged-i-subdaily-mAOD-qualified,362675,323245,52.805447,-2.555107,65.72026825,2747,11,2002,2023,22,2.525466102,7.602490472,1.556934917
7,Wood Mill Farm,http://environment.data.gov.uk/hydrology/id/measures/2234c370-5154-4bb5-aae6-b7606120f917_2055GW-gw-dipped-i-mAOD-qualified,,362935,322875,52.802139,-2.551209,61.23064041,402,44,1972,2022,51,1.133103097,1.56064041,0.78064041
8,Wood Mill Farm,http://environment.data.gov.uk/hydrology/id/measures/2234c370-5154-4bb5-aae6-b7606120f917_0445GW-gw-dipped-i-mAOD-qualified,,362675,323225,52.805267,-2.555105,65.82038879,615,47,1973,2021,49,2.541331879,3.46038879,0.98038879
9,Drakelow,,http://environment.data.gov.uk/hydrology/id/measures/94e992cb-3f51-46f8-a7b8-be5368babf90_46654-gw-logged-i-subdaily-mAOD-qualified,423955,320335,52.780061,-1.646296,54.95383453,7816,23,1999,2021,23,6.673464762,12.5392512,0.672938697
10,Tollgate,http://environment.data.gov.uk/hydrology/id/measures/db1d776d-2226-4979-8b90-733c0f352d32_441414004-gw-dipped-i-mAOD-qualified,,564245,171712,51.420622,0.360804,29.95890617,457,44,1980,2023,44,19.77582958,23.26890617,15.89890617
11,Spoondell,http://environment.data.gov.uk/hydrology/id/measures/6aead97c-0040-4e31-889d-01f628faf990-gw-dipped-i-mAOD-qualified,,500937,221009,51.878516,-0.535068,171.292572,419,43,1981,2023,43,43.10880112,48.602572,34.372572
