No,classification,PGR,P-PET,Leak,GW_Abs,Pop_den,Irri_int,Aquifer
1,Decreasing,94.05363464,131.6650696,3.332,13.058,48.98193227,101,Oolites
2,No trend,183.8820953,152.2689362,36.032,42.555,120.7160504,251,Oolites
3,No trend,15.88035393,98.12266541,8.174,41.78,139.4297237,1001,Carboniferous Limestone
4,Sudden upward change,18.85048103,41.85878372,4.342,13.058,108.5353892,5001,Lower Greensand
6,Increasing,219.9450378,162.0900269,9.786,16.604,73.25173375,1001,Permian Sandstone
7,No trend,219.9450378,159.5161896,9.786,16.604,74.00813239,1001,Permian Sandstone
8,No trend,219.9450378,162.0900269,9.786,16.604,73.29142479,1001,Permian Sandstone
9,Increasing,17.89305687,150.0495911,18.409,16.604,1001.230481,501,Triassic Sandstone
10,No trend,104.4325714,81.83187103,8.174,41.78,1628.325082,251,Chalk
11,Decreasing,209.5614929,150.1653442,14.592,42.555,1130.70292,101,Chalk
14,Increasing,412.316803,353.6122437,8.174,41.78,129.5668351,1001,Chalk
15,Decreasing,320.4310303,284.2192383,36.032,42.555,597.6294929,501,Chalk
16,No trend,27.31492996,90.91387177,4.342,13.058,79.5966272,5001,Chalk
17,No trend,142.0515442,162.2518463,9.786,16.604,220.6293107,1001,Triassic Sandstone
18,Decreasing,112.0817337,185.7541351,9.786,16.604,340.5926235,1001,Triassic Sandstone
19,No trend,242.0444031,287.509552,36.032,42.555,191.3660449,251,Oolites
20,No trend,55.98147202,454.8063354,13.911,6.465,107.7348115,1,Triassic Sandstone
21,Increasing,7.436735153,97.31575012,9.786,16.604,248.4182633,1001,Triassic Sandstone
23,Increasing,105.6052017,161.3447113,4.512,16.604,420.1542031,501,Unallocated to aquifers
24,Decreasing,147.7807007,80.744133,3.332,13.058,403.1833645,5001,Lower Greensand
25,No trend,23.59810829,90.56156158,3.332,13.058,62.53911903,5001,Lower Greensand
26,No trend,428.5201416,404.27948,12.995,41.78,77.16818355,101,Chalk
27,No trend,157.601593,105.928566,8.59,7.187,54.82825985,251,Triassic Sandstone
28,No trend,63.09690094,28.31229591,14.592,13.058,146.1015437,1001,Chalk
29,No trend,120.2636337,103.7513046,3.332,13.058,33.42304313,5001,Chalk
30,No trend,250.073349,282.051178,36.032,42.555,118.5838186,251,Oolites
31,Increasing,70.61598969,51.64440918,8.59,16.604,310.8654573,1001,Triassic Sandstone
32,Decreasing,335.4086304,444.3407288,4.294,9.611,92.3557275,51,Unallocated to aquifers
33,Increasing,62.39153671,62.29047012,3.332,13.058,127.6229654,101,Oolites
34,No trend,62.39153671,62.29047012,3.332,13.058,128.0046865,101,Oolites
35,No trend,173.6929779,231.6642151,9.786,16.604,98.39816639,1001,Triassic Sandstone
36,No trend,295.7599182,267.1957092,4.294,9.611,414.8000814,51,Chalk
37,Increasing,328.8153381,312.2478333,8.174,41.78,558.2721312,1,Chalk
38,No trend,164.3406525,205.6395721,36.032,42.555,78.76419301,51,Lower Greensand
39,No trend,21.01408577,78.31575775,3.332,13.058,86.16199832,1001,Oolites
40,No trend,306.1083984,288.3086548,36.032,42.555,63.91252609,51,Chalk
41,No trend,257.6689148,251.2402496,4.294,9.611,38.70026976,51,Chalk
42,No trend,257.6689148,251.2402496,4.294,9.611,38.68250646,51,Chalk
43,No trend,95.95828247,106.5231934,8.59,7.187,209.830765,501,Magnesian Limestone
44,No trend,319.7937012,291.4797974,36.032,42.555,55.30039445,51,Chalk
45,No trend,181.2648468,198.0635834,8.59,7.187,132.3997595,751,Triassic Sandstone
46,No trend,16.25009346,102.1517334,3.332,13.058,99.32532392,1001,Chalk
47,No trend,141.9952698,171.6154938,9.786,16.604,58.38724439,1001,Permian Sandstone
48,No trend,217.8606873,176.366684,14.592,42.555,1140.12067,101,Chalk
49,No trend,47.265522,88.5921936,8.59,16.604,1408.341236,2501,Triassic Sandstone
50,Increasing,464.5877686,448.680542,12.995,41.78,253.5907659,101,Chalk
51,No trend,27.43180847,148.0406799,3.332,13.058,68.87839308,1001,Crag
52,Decreasing,81.93016815,113.5373154,3.332,13.058,310.3130271,5001,Chalk
53,No trend,111.9159851,156.5601196,3.332,13.058,44.50567395,751,Chalk
54,Sudden downward change,212.9460754,185.5626831,9.786,16.604,54.07280362,1001,Triassic Sandstone
55,Increasing,58.63807678,38.02251434,14.592,13.058,750.4694961,1001,Chalk
56,No trend,271.5560913,197.8919373,36.032,42.555,285.8142319,51,Chalk
57,Increasing,141.5997162,207.7837677,6.424,7.187,32.94452074,1,Fell Sandstone& Border Group
58,No trend,156.8272095,172.8622742,36.032,41.78,790.3823844,1,Lower Greensand
59,Increasing,225.2651978,177.1793823,14.592,42.555,371.4616913,101,Chalk
60,Sudden downward change,153.3205872,175.9983063,9.786,16.604,106.6757854,101,Triassic Sandstone
61,Sudden upward change,158.3062897,187.8251801,18.409,16.604,634.2324252,251,Triassic Sandstone
62,No trend,214.4558563,166.9881439,3.332,13.058,65.62562865,1001,Chalk
63,No trend,336.4190674,300.6263733,8.174,41.78,577.4225931,1,Chalk
64,Increasing,99.91950226,89.71413422,8.59,7.187,249.1035911,501,Triassic Sandstone
65,No trend,502.6171265,491.0175476,13.911,6.465,91.4337219,1,Triassic Sandstone
66,No trend,161.7584534,177.5605927,6.946,41.78,240.0360325,251,Chalk
67,No trend,77.99790955,117.8751831,8.59,7.187,65.31352166,251,Triassic Sandstone
69,Sudden upward change,113.4614563,197.0566101,6.424,7.187,554.6150746,1,Unallocated to aquifers
70,Decreasing,194.6214752,155.4789886,9.786,16.604,126.3984488,251,Triassic Sandstone
71,No trend,214.6269836,233.3028107,36.032,42.555,160.3332701,51,Oolites
74,Increasing,136.4957886,365.5180969,13.911,6.465,435.2414146,101,Triassic Sandstone
75,No trend,173.3307343,125.6640701,9.786,16.604,125.1209151,1001,Triassic Sandstone
76,No trend,210.2389679,215.2782593,6.946,41.78,667.5078114,251,Chalk
77,No trend,377.8441772,356.4716492,7.969,9.611,403.5952194,51,Unallocated to aquifers
78,No trend,379.87146,356.2318115,6.946,42.555,265.0426221,501,Lower Greensand
79,No trend,138.3013611,130.4553223,8.59,7.187,105.0961988,51,Chalk
80,Increasing,35.40868759,287.6430969,4.294,42.555,116.6591895,251,Oolites
81,Increasing,183.1040192,198.2839813,8.59,7.187,29.48833785,751,Triassic Sandstone
82,No trend,49.68465042,180.5996857,9.786,16.604,178.8040171,501,Unallocated to aquifers
83,No trend,176.0119934,122.5269012,3.332,13.058,61.14781607,5001,Chalk
84,No trend,72.73069763,274.6302795,3.811,9.611,698.7889628,51,Permian Sandstone
85,No trend,87.94158173,79.41028595,8.59,7.187,140.2040489,51,Triassic Sandstone
86,No trend,434.4024963,372.7342834,4.294,9.611,71.12905241,101,Lower Greensand
87,Decreasing,306.0024414,307.8195801,36.032,41.78,192.8789838,1,Lower Greensand
88,Decreasing,146.0905762,139.5955048,3.332,13.058,190.2017817,5001,Chalk
89,No trend,133.9121399,244.4068756,8.59,7.187,20.22620447,751,Corallian Limestone
90,No trend,34.87853622,124.2774048,9.786,16.604,481.1097267,1001,Triassic Sandstone
91,Increasing,31.09737396,174.4576569,36.032,42.555,151.8133544,51,Chalk
92,Increasing,426.6903992,411.6299744,6.946,41.78,109.1599471,1,Chalk
93,Decreasing,284.3858948,297.5210571,4.294,41.78,195.603157,1,Chalk
94,No trend,322.4630432,232.3612213,9.786,16.604,220.7467912,251,Triassic Sandstone
95,No trend,408.0576477,360.2086487,6.946,41.78,792.1305304,1,Chalk
96,No trend,101.6632538,82.34613037,3.332,13.058,47.21798928,751,Oolites
98,No trend,137.9547882,171.1339111,9.786,16.604,172.7726856,251,Permian Sandstone
99,No trend,197.3976898,140.1150818,9.786,16.604,116.0637785,1001,Permian Sandstone
102,Increasing,234.9514313,235.6344604,36.032,42.555,207.8760704,51,Oolites
103,Sudden upward change,153.9954681,211.9784393,6.424,7.187,461.5946749,1,Unallocated to aquifers
106,Decreasing,90.44624329,33.68586731,3.332,13.058,120.7795495,5001,Chalk
107,No trend,289.9238892,289.7531433,36.032,42.555,148.7496959,51,Chalk
108,No trend,29.57124138,101.3245392,3.332,13.058,123.4884868,1001,Lower Greensand
109,No trend,333.5096436,518.2895508,13.911,6.465,109.6645465,1,Triassic Sandstone
110,Sudden upward change,188.4281006,190.1796722,6.946,42.555,240.5824342,251,Chalk
111,No trend,132.3629608,109.491066,3.332,13.058,30.06412326,5001,Chalk
113,Increasing,188.6655426,127.896904,36.032,41.78,529.9691253,1,Chalk
114,No trend,171.9423676,179.8826599,9.786,16.604,65.83999262,1001,Permian Sandstone
